miRNA_ID,SRR16352778,SRR16352779,SRR16352782,SRR30791896,SRR30791897,SRR30791899,SRR30791901,SRR30791903,SRR30791904,SRR30791906,SRR30791908,SRR30791911,SRR30791920,Avg_Percent,Cumulative_Percent
hsa-miR-148a-3p,3205465,4039250,2347080,1048820,1011114,1484035,672727,742545,942999,1119451,560590,1054497,1088985,0.294866259354657,0.294866259354657
hsa-miR-30a-5p,515986,580739,322708,171580,279791,327357,111504,179459,274296,246253,83328,275802,213817,0.05938254763639791,0.3542488069910549
hsa-miR-26a-5p,383279,446826,327191,277680,194662,270033,82366,203081,218765,234546,45939,287941,344379,0.05701994158122058,0.4112687485722755
hsa-miR-21-5p,953306,1090029,583815,88034,213583,193647,40698,189101,249753,233420,15382,206628,90452,0.05044351675315795,0.4617122653254334
hsa-let-7a-5p,451289,506447,428729,170822,189025,188204,30932,200493,161382,133301,9476,226525,149383,0.04152532575418419,0.5032375910796176
hsa-miR-99a-5p,112842,113912,43572,161115,121477,184930,126762,107574,78615,49806,195615,78749,172657,0.03589666648353682,0.5391342575631545
hsa-miR-200c-3p,714759,846722,708471,115902,120226,125975,13583,98167,94704,109627,3142,88791,173582,0.03523878142826936,0.5743730389914239
hsa-let-7b-5p,501392,551736,488064,80996,91196,72191,93914,90670,66409,92680,109441,80546,78827,0.03270255474389838,0.6070755937353222
hsa-let-7f-5p,325724,352584,290347,101034,191025,183924,17721,142802,155456,130489,3023,152984,118253,0.03242758609855487,0.6395031798338771
hsa-miR-200b-3p,356193,417531,342301,103661,140825,147040,17995,133521,127956,121636,6156,123147,143877,0.03073712594613238,0.6702403057800095
hsa-miR-141-3p,1152323,1272851,1541695,7937,14043,16803,3982,10057,15354,15761,1097,18912,14573,0.02828949732425486,0.6985298031042643
hsa-let-7g-5p,34918,41688,32617,97103,164644,180884,34037,123303,134641,99535,24630,132829,93412,0.02530373086481238,0.7238335339690767
hsa-miR-200a-3p,433451,465470,420021,51171,79797,81916,24718,63731,73483,80319,10873,82810,69930,0.02252089233440813,0.7463544263034848
hsa-miR-27b-3p,108703,139579,75350,41963,68189,67714,27652,69023,68780,55760,21332,84412,54878,0.01518294539078421,0.761537371694269
hsa-let-7i-5p,27054,29859,25458,34734,62738,51939,46202,53092,55055,75640,74496,47841,56987,0.01513970011403277,0.7766770718083018
hsa-miR-186-5p,144383,174947,135341,20064,30440,31216,26488,24081,27135,26667,47826,23365,29193,0.01058350257873556,0.7872605743870373
hsa-miR-151a-3p,36097,44073,29462,29330,27563,36135,24985,28038,22987,33201,61708,29165,42726,0.009737297987696056,0.7969978723747334
hsa-miR-30d-5p,156546,179712,94465,23258,27397,29434,12028,20749,20828,18797,12417,21569,30043,0.00785332260766739,0.8048511949824008
hsa-miR-320a-3p,18419,22388,12059,13169,7768,7712,33665,10307,8705,17694,92278,13818,17077,0.00772907189280697,0.8125802668752078
hsa-miR-203a-3p,18237,20988,13981,17784,29072,37484,12939,36381,38843,36488,17975,41163,39120,0.007637535250429492,0.8202178021256372
hsa-let-7c-5p,69640,80269,86451,35020,33993,30094,14607,31957,22319,24156,9901,28011,24995,0.007614672299595214,0.8278324744252324
hsa-miR-181a-5p,40313,43705,15187,24033,11148,10153,26272,17501,21753,18935,45824,25393,40763,0.007391942183190323,0.8352244166084227
hsa-miR-103b,205362,231238,174913,10259,16953,17596,7542,15108,20939,17121,8303,14096,13143,0.007234464833798078,0.8424588814422208
hsa-miR-103a-3p,205362,231238,174913,10259,16953,17596,7542,15108,20939,17121,8303,14096,13143,0.007234464833798078,0.8496933462760188
hsa-miR-29c-3p,355135,399506,259716,82,298,128,33,177,212,264,42,127,81,0.006357212108504206,0.856050558384523
hsa-miR-30c-5p,18395,22990,16005,28521,39747,36033,5721,29460,31583,29609,3146,29384,29670,0.006257182319563772,0.8623077407040869
hsa-miR-25-3p,35848,43674,24925,26258,25216,29515,6559,26875,23487,21983,4465,24810,28547,0.005627208241951521,0.8679349489460384
hsa-miR-30a-3p,25743,34229,17403,20138,17769,23169,16824,17734,15127,17427,23701,18441,23547,0.005520136968837558,0.873455085914876
hsa-miR-378a-3p,14634,17338,7442,7729,9487,7918,16632,10860,12737,22244,37021,12276,4730,0.004429671207854067,0.8778847571227302
hsa-miR-191-5p,67468,79370,54484,12982,17843,17335,5442,14772,15614,14976,5198,13383,17610,0.004415865964540789,0.8823006230872709
hsa-miR-26b-5p,89386,103750,85126,9585,13744,13729,4239,12475,17403,12546,1402,14548,11731,0.004301160579614404,0.8866017836668852
hsa-miR-203b-5p,2012,2343,2002,9311,17027,20340,8999,18930,21352,18359,13639,23319,21790,0.004255460520824801,0.8908572441877101
hsa-miR-182-5p,31634,40601,24800,7777,21912,16393,4143,19963,14046,15469,5358,11996,11700,0.003597834773650146,0.8944550789613602
hsa-miR-22-3p,29565,34934,18544,7690,10063,6628,13424,6196,8769,10539,25723,8300,6698,0.003576358401933283,0.8980314373632935
hsa-miR-24-3p,14659,17686,11185,12191,16383,14086,9153,13500,12053,12097,5025,11250,11436,0.00311943133271276,0.9011508686960061
