miRNA_ID,SRR16352793,SRR16352794,SRR16352795,SRR29674788,Avg_Percent,Cumulative_Percent
hsa-miR-148a-3p,1253751,493212,461382,63134,0.1433552105141414,0.1433552105141414
hsa-miR-141-3p,496162,582082,903280,41127,0.1256516234576166,0.269006833971758
hsa-miR-21-5p,160950,346209,660245,57560,0.08568275547776824,0.3546895894495263
hsa-miR-200a-3p,183893,429264,662277,33760,0.08449160210379816,0.4391811915533244
hsa-let-7a-5p,330257,115745,138166,20699,0.03900775143464662,0.4781889429879711
hsa-let-7b-5p,144681,140991,171398,34438,0.03790737219274458,0.5160963151807156
hsa-let-7f-5p,394456,78323,101689,8799,0.03360267916108003,0.5496989943417956
hsa-miR-200c-3p,278440,97932,103809,19886,0.03313715244415753,0.5828361467859531
hsa-miR-200b-3p,156562,127444,196203,12756,0.03116785537038216,0.6140040021563353
hsa-miR-29c-3p,96971,83486,149688,26934,0.02770389695203102,0.6417078991083663
hsa-miR-26a-5p,145819,81227,117062,21820,0.02659466946084799,0.6683025685692143
hsa-miR-16-5p,93417,97786,158866,13022,0.02411476927323088,0.6924173378424453
hsa-miR-29a-3p,70665,78956,102132,19629,0.02113140717591008,0.7135487450183554
hsa-miR-320a-3p,2832,14988,19270,38090,0.0155287731100788,0.7290775181284341
hsa-miR-103b,71081,30385,58738,16926,0.0145994459605717,0.7436769640890059
hsa-miR-103a-3p,71081,30385,58738,16926,0.0145994459605717,0.7582764100495776
hsa-miR-30d-5p,39023,51604,84889,8860,0.01295716699035789,0.7712335770399354
hsa-miR-29b-3p,21304,43314,71328,11060,0.01157297825740682,0.7828065552973423
hsa-miR-191-5p,23855,30812,44902,9875,0.009086159722326691,0.791892715019669
hsa-miR-107,5812,15096,28853,14697,0.007954511762619115,0.799847226782288
hsa-miR-22-3p,6491,8511,11596,16851,0.007420237291328113,0.8072674640736162
hsa-let-7g-5p,37332,20170,25657,8028,0.007406918091258759,0.814674382164875
hsa-miR-30e-5p,12815,21043,47047,7640,0.007157269960285035,0.8218316521251601
hsa-let-7i-5p,60741,22834,26216,3190,0.007107622086403461,0.8289392742115634
hsa-miR-374a-5p,39146,23030,27904,5249,0.006838101639499774,0.8357773758510632
hsa-miR-320b,652,5438,5700,17272,0.006762375589159445,0.8425397514402226
hsa-miR-26b-5p,28647,19884,33951,5421,0.006445267596396511,0.848985019036619
hsa-miR-320c,526,4271,4930,14468,0.005651049618768983,0.8546360686553881
hsa-miR-155-5p,30145,20391,25465,2750,0.005198552002570142,0.8598346206579582
hsa-let-7c-5p,32125,20354,25189,2260,0.00511020805991387,0.8649448287178721
hsa-miR-99a-5p,10959,33307,26366,2488,0.005100910848083815,0.8700457395659559
hsa-miR-186-5p,19804,18447,29683,2954,0.004819548391675298,0.8748652879576312
hsa-miR-143-3p,11755,27237,38174,910,0.004742152327673745,0.879607440285305
hsa-miR-375-3p,15497,13620,14936,6096,0.004629819014181425,0.8842372592994865
hsa-miR-320d,404,3330,4041,11055,0.004336397120665888,0.8885736564201524
hsa-miR-152-3p,5558,16089,26213,4351,0.004251127754142337,0.8928247841742948
hsa-miR-125b-5p,12336,17378,30503,2404,0.004214486416098587,0.8970392705903933
hsa-miR-30a-5p,69068,329,312,491,0.003696235006212603,0.900735505596606
