miRNA_ID,SRR16352790,SRR16352791,SRR16352792,SRR29674790,Avg_Percent,Cumulative_Percent
hsa-miR-148a-3p,3309349,2403725,1885304,6107,0.2631937593090709,0.2631937593090709
hsa-miR-141-3p,509693,366252,632391,4378,0.06490610107005126,0.3280998603791222
hsa-let-7a-5p,395995,246416,325968,7011,0.05650943068458181,0.384609291063704
hsa-miR-200c-3p,787993,454163,478378,690,0.05630363718933783,0.4409129282530418
hsa-let-7f-5p,416173,270056,356149,1857,0.03999168261399245,0.4809046108670343
hsa-let-7b-5p,278187,179218,241474,4745,0.03970356318633365,0.5206081740533679
hsa-miR-200a-3p,285374,167339,259919,2209,0.03072280018681126,0.5513309742401792
hsa-miR-26a-5p,328719,154959,219014,2378,0.0305250428422627,0.581856017082442
hsa-miR-16-5p,212216,133695,200672,2834,0.02784837833235049,0.6097043954147925
hsa-miR-200b-3p,307723,181544,260402,1093,0.02773495810981016,0.6374393535246026
hsa-miR-30a-5p,202648,134763,152077,3219,0.02738403890979718,0.6648233924343998
hsa-miR-21-5p,296552,142386,163418,1904,0.02556451769004129,0.6903879101244411
hsa-miR-29c-3p,179553,121152,120394,2551,0.02272394292691112,0.7131118530513523
hsa-miR-29a-3p,124630,68155,67893,3307,0.02027049178520064,0.7333823448365528
hsa-miR-103a-3p,225873,122772,176344,596,0.01867928431739362,0.7520616291539465
hsa-miR-103b,225873,122772,176344,596,0.01867928431739362,0.77074091347134
hsa-let-7i-5p,127898,86927,106591,313,0.0113941824807149,0.782135095952055
hsa-miR-30d-5p,91641,57033,69785,745,0.00965008322219704,0.791785179174252
hsa-miR-223-3p,86502,59303,78763,652,0.009579062817032797,0.8013642419912848
hsa-miR-27b-3p,77096,55162,54141,422,0.007483812627879839,0.8088480546191645
hsa-let-7g-5p,50027,33203,43332,912,0.007390611924205721,0.8162386665433704
hsa-miR-142-3p,79463,52968,59437,229,0.006930690991900345,0.8231693575352708
hsa-miR-191-5p,51341,33774,49257,522,0.006214609481037215,0.8293839670163079
hsa-let-7c-5p,64398,42577,57188,221,0.006046512675120332,0.8354304796914284
hsa-miR-186-5p,50534,30183,52815,458,0.005943299593699315,0.8413737792851276
hsa-miR-146b-5p,35398,19649,27264,885,0.005845557904476217,0.8472193371896038
hsa-miR-25-3p,51096,31823,37667,514,0.005701530139155153,0.852920867328759
hsa-miR-26b-5p,58785,28340,36609,328,0.005036239460140389,0.8579571067888995
hsa-miR-320a-3p,6201,2687,3733,1256,0.005013265381061765,0.8629703721699612
hsa-miR-30b-5p,37143,23394,20783,639,0.004903089770634025,0.8678734619405952
hsa-miR-27a-3p,44819,31690,32586,344,0.004737977357965643,0.8726114392985609
hsa-miR-375-3p,67508,26581,31385,183,0.004469861219942007,0.8770813005185029
hsa-miR-151a-3p,45293,29691,40413,176,0.004325194745532283,0.8814064952640353
hsa-miR-339-5p,24125,15417,20188,652,0.004297938298257523,0.8857044335622928
hsa-miR-23a-3p,35709,17789,26261,393,0.003934581973823395,0.8896390155361162
hsa-miR-93-5p,35855,24356,29638,276,0.003878587049844786,0.893517602585961
hsa-miR-320b,918,355,424,1010,0.003770906925003148,0.8972885095109642
hsa-miR-574-3p,33961,23675,31805,178,0.003519391060942148,0.9008079005719064
